Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
23,20.67,103,46,22.33,6,40.0,9,47,166,34,52,48.04,23,Mauro Icardi,mauro-icardi,Galatasaray,
20,20.8,144,62,13.89,22,39.29,10,37,265,73,79,45.65,34,Edin Džeko,edin-dzeko,Fenerbahçe,
18,13.12,85,37,21.18,16,40.0,4,11,103,102,56,45.4,75,Rey Manaj,rey-manaj,Sivasspor,
17,12.0,81,32,20.99,18,46.15,7,34,206,92,85,44.36,28,Mame Thiam,mame-thiam,Pendikspor,
15,12.1,89,37,16.85,25,45.45,2,18,125,104,93,43.58,67,Adam Buksa,adam-buksa,Antalyaspor,
14,12.54,91,39,15.38,16,44.44,5,16,128,64,74,43.53,36,Krzysztof Piątek,krzysztof-piatek,Başakşehir FK,
13,8.44,90,30,14.44,17,65.38,4,37,421,118,44,57.86,42,Aytaç Kara,aytac-kara,Kasımpaşa,
12,3.98,40,21,30.0,36,55.38,9,52,336,110,21,49.81,44,İrfan Can Kahveci,irfan-can-kahveci,Fenerbahçe,
12,12.49,75,27,16.0,29,47.54,13,72,245,80,17,42.92,25,Kerem Aktürkoğlu,kerem-akturkoglu,Galatasaray,
12,9.1,55,23,21.82,48,60.0,19,63,370,107,10,42.86,35,Oğuz Aydın,oguz-aydin,Alanyaspor,
12,7.84,56,20,21.43,41,51.9,4,24,118,108,57,50.0,49,Nuno Da Costa,nuno-da-costa,Kasımpaşa,
12,11.21,95,35,12.63,80,52.63,8,35,182,171,66,40.24,39,Denis Drăguş,denis-dragus,Gaziantep FK,
11,7.65,52,19,21.15,11,68.75,2,13,55,42,88,49.06,26,Paul Onuachu,paul-onuachu,Trabzonspor,
11,10.26,54,18,20.37,21,46.67,5,24,122,64,40,33.33,24,Sokol Cikalleshi,sokol-cikalleshi,Konyaspor,
11,10.97,45,25,24.44,5,50.0,1,8,63,15,6,32.81,4,Michy Batshuayi,michy-batshuayi,Fenerbahçe,
10,4.86,53,22,18.87,35,48.61,3,14,78,79,18,37.6,30,Semih Kılıçsoy,semih-kilicsoy,Beşiktaş,
9,8.48,79,30,11.39,9,26.47,16,69,320,125,8,50.96,43,Sebastian Szymański,sebastian-szymanski,Fenerbahçe,
9,14.13,47,23,19.15,29,53.7,27,80,525,96,14,44.0,38,Dušan Tadić,dusan-tadic,Fenerbahçe,
9,3.91,45,19,20.0,41,53.95,2,22,178,107,5,55.17,39,Wilfried Zaha,wilfried-zaha,Galatasaray,
9,6.36,55,20,16.36,21,35.0,8,27,202,73,5,41.71,35,Mahmoud Trézéguet,mahmoud-trezeguet,Trabzonspor,
9,4.4,49,15,18.37,28,54.9,8,37,195,67,4,47.97,21,Efkan Bekiroğlu,efkan-bekiroglu,,MKE Ankaragücü
9,3.5,41,18,21.95,8,34.78,4,20,128,30,4,37.78,11,Cengiz Ünder,cengiz-under,,Fenerbahçe
8,7.54,85,34,9.41,14,38.89,16,80,296,82,4,39.27,29,Dries Mertens,dries-mertens,,Galatasaray
8,5.48,58,24,13.79,59,60.82,4,35,210,184,33,53.58,70,Ibrahim Olawoyin,ibrahim-olawoyin,,Çaykur Rizespor
8,5.93,30,15,26.67,6,46.15,0,9,41,19,14,35.48,10,M'Baye Niang,mbaye-niang,,Adana Demirspor
8,5.06,57,20,14.04,38,45.24,2,27,173,88,25,39.79,36,Güven Yalçın,guven-yalcin,,Fatih Karagümrük
8,5.82,47,17,17.02,25,46.3,4,46,160,78,30,41.86,34,Mamadou Fall,mamadou-fall,,Kasımpaşa
8,9.84,68,26,11.76,12,46.15,1,10,97,40,96,36.07,22,Marius Mouandilmadji,marius-mouandilmadji,,Yılport Samsunspor
8,9.01,64,26,12.5,63,51.22,5,28,164,127,32,42.51,31,Aylton Boa Morte,aylton-boa-morte,,Kayserispor
8,7.09,49,16,16.33,28,41.79,3,18,139,73,16,38.03,33,Dal Varešanović,dal-varesanovic,,Çaykur Rizespor
7,7.41,64,20,10.94,32,72.73,7,43,257,159,30,58.7,64,Emre Akbaba,emre-akbaba,,Adana Demirspor
7,5.46,51,17,13.73,8,47.06,4,15,57,34,13,46.53,22,Mario Balotelli,mario-balotelli,,Adana Demirspor
7,3.22,12,9,58.33,2,100.0,0,6,100,43,44,56.86,14,Omar Colley,omar-colley,,Beşiktaş
7,2.91,32,14,21.88,31,62.0,4,42,290,97,54,51.54,29,Mortadha Ben Ouanes,mortadha-ben-ouanes,,Kasımpaşa
7,5.84,41,20,17.07,13,59.09,2,9,57,35,26,40.67,15,Adolfo Gaich,adolfo-gaich,,Çaykur Rizespor
7,5.74,45,19,15.56,18,34.62,6,30,160,92,24,43.45,53,João Figueiredo,joao-figueiredo,,Başakşehir FK
7,8.74,58,20,12.07,12,30.77,1,19,89,48,41,38.7,23,Carlos Strandberg,carlos-strandberg,,Hatayspor
6,1.65,36,13,16.67,14,48.28,5,31,136,38,3,40.2,10,Hakim Ziyech,hakim-ziyech,,Galatasaray
6,2.89,48,16,12.5,19,57.58,7,40,294,105,27,47.48,23,Kerem Demirbay,kerem-demirbay,,Galatasaray
6,2.94,50,20,12.0,29,50.88,3,37,278,97,4,46.54,36,Enis Bardhi,enis-bardhi,,Trabzonspor
6,4.65,30,17,20.0,18,58.06,7,24,113,45,6,43.22,7,Dimitrios Pelkas,dimitrios-pelkas,Başakşehir FK,
