Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
18,20,37.74,122,53,8,485,69.29,31,3,31,14,2,62,61,44.24,28,Edin Džeko,edin-dzeko,Fenerbahçe,
15,4,33.33,80,33,7,270,73.97,34,0,12,4,2,25,44,46.31,18,Mauro Icardi,mauro-icardi,Galatasaray,
15,17,45.95,63,26,6,469,72.04,30,7,14,35,11,79,61,42.3,27,Mame Thiam,mame-thiam,Pendikspor,
15,11,34.38,73,31,1,283,73.51,7,0,13,9,2,75,50,43.86,57,Rey Manaj,rey-manaj,Sivasspor,
13,13,41.94,79,36,3,295,72.3,12,2,9,12,7,57,63,44.94,34,Krzysztof Piątek,krzysztof-piatek,Başakşehir FK,
12,24,48.0,79,32,2,323,67.43,15,1,9,16,8,91,76,44.06,55,Adam Buksa,adam-buksa,Antalyaspor,
11,26,46.43,67,25,13,474,65.83,66,37,35,21,13,69,14,41.09,22,Kerem Aktürkoğlu,kerem-akturkoglu,Galatasaray,
11,15,71.43,75,27,3,1048,82.07,32,15,59,53,17,95,40,57.2,32,Aytaç Kara,aytac-kara,Kasımpaşa,
11,66,51.97,75,30,6,319,65.24,21,1,5,48,5,149,52,41.96,35,Denis Drăguş,denis-dragus,Gaziantep FK,
11,21,47.73,54,18,5,246,71.1,23,0,8,18,2,60,31,32.62,21,Sokol Cikalleshi,sokol-cikalleshi,Konyaspor,
10,23,48.94,33,19,7,511,79.72,38,21,30,23,18,80,19,49.75,37,İrfan Can Kahveci,irfan-can-kahveci,Fenerbahçe,
10,29,58.0,42,17,3,216,63.72,15,2,8,14,3,76,42,50.86,34,Nuno Da Costa,nuno-da-costa,Kasımpaşa,
9,7,25.0,68,27,13,517,78.45,58,40,25,64,12,108,6,50.44,37,Sebastian Szymański,sebastian-szymanski,Fenerbahçe,
9,27,52.94,43,18,1,154,70.64,9,1,5,11,4,58,12,40.46,21,Semih Kılıçsoy,semih-kilicsoy,Beşiktaş,
9,40,54.05,41,17,2,368,79.48,22,4,10,27,5,104,4,56.25,37,Wilfried Zaha,wilfried-zaha,Galatasaray,
9,6,28.57,37,18,4,233,73.04,20,12,13,12,3,28,4,38.1,10,Cengiz Ünder,cengiz-under,Fenerbahçe,
9,26,41.27,51,17,3,382,78.6,13,4,19,12,7,72,15,39.01,36,Dal Varešanović,dal-varesanovic,Çaykur Rizespor,
8,22,52.38,40,21,23,771,75.44,65,39,12,24,12,79,11,42.45,33,Dušan Tadić,dusan-tadic,Fenerbahçe,
8,9,64.29,45,15,2,172,66.67,12,1,11,6,1,37,80,48.35,23,Paul Onuachu,paul-onuachu,Trabzonspor,
8,6,46.15,30,15,0,119,79.87,9,2,4,3,0,19,14,35.48,10,M'Baye Niang,mbaye-niang,Adana Demirspor,
8,25,48.08,43,17,4,284,67.46,44,8,3,17,15,69,21,41.1,28,Mamadou Fall,mamadou-fall,,Kasımpaşa
8,3,42.86,34,18,1,94,76.42,3,0,7,5,1,10,6,32.65,2,Michy Batshuayi,michy-batshuayi,,Fenerbahçe
7,21,39.62,46,17,7,330,82.5,24,6,6,16,5,66,4,43.75,29,Mahmoud Trézéguet,mahmoud-trezeguet,,Trabzonspor
7,38,60.32,35,14,13,569,74.97,47,19,29,21,8,88,10,43.95,29,Oğuz Aydın,oguz-aydin,,Alanyaspor
7,9,40.91,54,24,1,170,54.66,10,1,1,5,0,32,82,37.62,18,Marius Mouandilmadji,marius-mouandilmadji,,Yılport Samsunspor
6,30,75.0,55,19,6,741,75.23,36,16,60,57,21,143,24,58.8,57,Emre Akbaba,emre-akbaba,,Adana Demirspor
6,30,66.67,28,13,2,723,73.63,28,16,37,34,21,90,42,53.66,26,Mortadha Ben Ouanes,mortadha-ben-ouanes,,Kasımpaşa
6,20,54.05,37,10,6,590,81.04,31,5,25,17,4,53,4,47.11,16,Efkan Bekiroğlu,efkan-bekiroglu,,MKE Ankaragücü
6,23,62.16,40,14,2,501,80.81,9,6,24,9,5,42,19,39.87,10,Olivier Ntcham,olivier-ntcham,,Yılport Samsunspor
6,10,52.63,34,13,1,152,68.47,7,0,7,7,8,30,21,39.23,13,Adolfo Gaich,adolfo-gaich,,Çaykur Rizespor
6,52,50.98,56,23,3,306,69.07,20,5,8,28,7,105,27,42.72,26,Aylton Boa Morte,aylton-boa-morte,,Kayserispor
6,11,32.35,44,14,0,206,66.45,14,2,7,11,2,36,29,38.01,14,Carlos Strandberg,carlos-strandberg,,Hatayspor
6,15,48.39,30,12,1,145,71.43,5,0,3,7,0,41,31,42.11,19,Erencan Yardımcı,erencan-yardimci,,Pendikspor
5,19,61.29,38,15,12,774,79.88,54,32,72,35,9,88,12,53.76,34,Valentin Eysseric,valentin-eysseric,,Fatih Karagümrük
5,30,65.22,33,18,6,538,82.39,34,6,45,8,4,76,8,58.33,39,Samu Sáiz,samu-saiz,,Sivasspor
5,15,57.69,35,12,7,818,82.88,37,29,56,50,16,83,21,49.29,18,Kerem Demirbay,kerem-demirbay,,Galatasaray
5,1,100.0,8,7,0,894,88.43,5,0,43,20,23,32,33,57.52,11,Omar Colley,omar-colley,,Beşiktaş
5,10,26.32,47,21,4,517,75.81,35,16,11,57,12,86,24,40.15,20,Carlo Holse,carlo-holse,,Yılport Samsunspor
5,8,57.14,36,18,0,181,59.34,12,0,2,14,2,49,65,51.12,29,Enis Destan,enis-destan,,Trabzonspor
5,21,58.33,43,17,5,575,81.44,29,21,58,19,6,60,12,46.15,20,João Novais,joao-novais,,Alanyaspor
5,35,45.45,46,15,2,366,71.91,23,6,13,14,7,81,22,41.04,33,Güven Yalçın,guven-yalcin,,Fatih Karagümrük
5,8,44.44,47,13,5,229,67.35,18,2,7,12,1,42,52,51.65,25,Cenk Tosun,cenk-tosun,,Beşiktaş
5,22,44.0,40,14,4,488,73.49,19,17,29,26,18,88,17,45.45,41,Yusuf Erdoğan,yusuf-erdogan,,Adana Demirspor
5,22,44.0,26,15,0,313,80.88,10,8,15,16,5,57,13,40.94,20,Louka Prip,prip-louka,,Konyaspor
4,11,39.29,70,29,10,503,76.68,47,37,29,30,10,64,4,40.72,23,Dries Mertens,dries-mertens,,Galatasaray
4,8,57.14,41,12,4,609,82.97,25,9,50,27,6,59,9,52.71,25,Anastasios Bakasetas,anastasios-bakasetas,,Trabzonspor
4,11,68.75,26,7,2,912,81.94,18,6,78,41,32,65,20,49.71,13,Tolga Ciğerci,tolga-cigerci,,MKE Ankaragücü
4,10,83.33,9,5,1,979,88.2,4,0,41,22,36,53,41,56.29,21,Jerome Opoku,opoku-jerome,,Başakşehir FK
4,52,60.47,46,19,2,575,77.6,27,5,29,49,31,163,28,52.33,63,Ibrahim Olawoyin,ibrahim-olawoyin,,Çaykur Rizespor
4,37,48.05,30,10,2,505,74.59,49,27,17,29,23,81,4,42.08,15,Sam Larsson,sam-larsson,,Antalyaspor
4,16,40.0,39,14,6,321,72.13,29,25,24,20,3,57,5,42.47,21,Milot Rashica,milot-rashica,,Beşiktaş
4,51,65.38,30,11,2,522,86.28,30,4,3,23,4,88,19,44.96,14,Oluwafisayo Dele-Bashiru,dele-bashiru-oluwafisayo,,Hatayspor
4,12,50.0,26,9,1,624,81.14,21,6,22,21,17,66,20,47.78,33,Marcus Rohdén,marcus-rohden,,Fatih Karagümrük
4,24,57.14,40,13,2,642,77.35,21,19,49,54,12,111,11,44.2,33,Florian Loshaj,florian-loshaj,,İstanbulspor
4,16,48.48,21,7,5,242,68.17,23,2,8,21,12,63,25,41.12,26,Benhur Keser,benhur-keser,,Çaykur Rizespor
4,11,55.0,25,9,1,142,72.45,3,1,5,0,1,25,19,42.31,14,Vincent Aboubakar,vincent-aboubakar,,Beşiktaş
4,18,51.43,20,8,5,431,68.2,20,18,28,41,16,69,31,48.31,10,Rigoberto Rivas,rigoberto-rivas,,Hatayspor
4,12,50.0,24,12,1,170,60.93,13,0,7,6,2,37,41,38.61,19,Renat Dadaşov,renat-dadasov,,Hatayspor
